CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 16,2M05254109+0216491,0.6509886915942255,0.030041579405521632,0.01000801,-0.06399309,-0.11049,0.01185187,100.7257,4006.649,4.585686,20.00926,81.421222,2.280313,0.013489632380568446,7.130000114440918,-0.0815515,-0.08601701,-9999.0,0.95,0.95,0.0
ASCC 16,2M05254589+0145500,0.48903782859500416,0.028359798666679998,-0.10908,-0.05885011,-0.3087,0.01231458,123.7608,4340.865,4.055058,21.09725,81.441221,1.763914,0.013489632380568446,7.130000114440918,-0.1735215,-0.109297,-9999.0,0.89,0.0,0.7
ASCC 16,2M05254676+0032538,0.7278335041281518,0.0278207043601641,0.001872599,-0.1205871,-0.26287,0.009141071,205.427,4159.202,4.189429,20.82902,81.444863,0.548295,0.013489632380568446,7.130000114440918,-0.1281415,-0.105097,-9999.0,0.96,0.0,2.0
ASCC 16,2M05255035+0149370,0.5937621840040691,0.017741423374011505,-0.0133069,-0.04734709,0.067513,0.008575436,150.9604,3663.84,4.506892,19.1268,81.459831,1.826971,0.013489632380568446,7.130000114440918,-0.005845491,0.007351004,-9999.0,0.61,0.0,0.68
ASCC 16,2M05255075+0047489,0.45990533175763504,0.10253753247754828,0.018465,0.0953689,-0.077462,0.005508265,300.5276,6011.144,3.909069,21.51365,81.461485,0.796934,0.013489632380568446,7.130000114440918,-0.03536649,0.037976,0.0979449,0.72,0.88,2.0
ASCC 16,2M05260634+0145466,0.6185866505535694,0.021780445283669563,-0.002986901,-0.0548151,0.027562,0.01003341,120.8581,3701.499,4.589865,20.79216,81.526432,1.762967,0.013489632380568446,7.130000114440918,-0.02888849,-0.015862,-9999.0,0.97,0.01,0.59
ASCC 16,2M05260639+0137116,0.6138997301093332,0.0216853772041887,-0.005768992,-0.05429409,-0.071436,0.009824826,143.2888,3784.869,4.577867,19.28638,81.526631,1.619901,0.013489632380568446,7.130000114440918,-0.03585249,-0.008888997,-9999.0,0.69,0.81,0.66
ASCC 16,2M05261117+0154523,0.555743696523559,0.020411955885028775,-0.006658599,-0.0119608,-0.071178,0.01011583,140.9237,3818.971,4.566903,19.92182,81.546574,1.914537,0.013489632380568446,7.130000114440918,-0.0205235,-0.028726,-9999.0,0.93,0.81,0.0
ASCC 16,2M05261151+0052280,0.43215190765178296,0.022631636513619626,-0.137398,-0.03346209,-0.096249,0.009857999,137.1114,4507.154,4.512035,19.26625,81.547959,0.874465,0.013489632380568446,7.130000114440918,-0.03722949,0.002373002,0.048108,0.68,1.0,-0.93
ASCC 16,2M05264348+0143538,0.48130394840280427,0.022280643499225997,-0.068289,-0.01113608,-0.12664,0.008265999,171.1649,4586.291,4.389376,20.45183,81.681189,1.731622,0.013489632380568446,7.130000114440918,-0.05406149,0.01758401,0.06368001,1.0,0.77,0.67
ASCC 16,2M05264654+0140552,0.22252532523085722,0.013271573976538543,-0.16309,0.2291029,-0.15709,0.007187921,290.6937,4944.881,4.326945,20.30729,81.693953,1.682009,0.013489632380568446,7.130000114440918,-0.04106151,0.045377,0.08449799,1.0,0.33,0.83
ASCC 16,2M05264681+0226039,0.7026320249977578,0.024376363041572407,0.002661496,-0.1044941,-0.095203,0.008841526,172.7045,4030.597,4.529402,20.54951,81.695083,2.43442,0.013489632380568446,7.130000114440918,-0.04535849,-0.04021402,-9999.0,1.0,1.0,2.0
ASCC 16,2M05264819+0222025,0.7350304729137068,0.06307672796583752,0.092375,-0.034358,-0.091237,0.006272326,220.6255,5312.475,3.648043,26.60433,81.700808,2.367373,0.013489632380568446,7.130000114440918,0.092317,-0.1045204,0.100618,0.0,0.99,2.0
ASCC 16,2M05265040+0155037,0.6058049176960322,0.020280955533570833,-0.00865805,-0.0514185,0.006279199,0.00945368,140.0357,3733.085,4.580348,21.31915,81.710018,1.917701,0.013489632380568446,7.130000114440918,-0.0303099,-0.0248994,-9999.0,0.8,0.03,0.63
