cluster,age_gyr,n_match,n_ba,cl_ba_fe,match_ba_median,rand_ba_median,delta_match,delta_rand,closer,mw_p
NGC_2660,0.9332548746146908,19685,19581,0.1622745245695114,0.04013527184724808,-0.006680388003587723,0.1401941180229187,0.18195469677448273,True,0.0
NGC_2670,0.102329353157667,18288,18135,0.21702440083026886,0.03676935285329819,-0.006650563329458237,0.1842319816350937,0.22969964146614075,True,0.0
NGC_2682,4.265796312095559,25264,25100,0.005105328280478716,0.03506183251738548,-0.006948815658688545,0.09541481733322144,0.10866035521030426,True,1.6357417e-38
NGC_2910,0.1288248533293804,11420,11193,0.1408393532037735,0.0751190260052681,-0.0016501471400260925,0.12335625290870667,0.16207100450992584,True,0.0
NGC_2925,0.1288248533293804,16948,16778,0.11695844680070877,0.049818992614746094,-0.006258765235543251,0.11716625094413757,0.15181052684783936,True,0.0
NGC_2972,0.4897783461428336,10023,10011,0.03558462858200073,0.05753839761018753,-0.003800995647907257,0.09837958216667175,0.11426910758018494,True,7.171757e-35
NGC_3105,0.021877623926123,27627,27542,0.16593174636363983,0.02530042827129364,-0.006990743800997734,0.15208739042282104,0.18431887030601501,True,0.0
NGC_3228,0.0301995185303324,13006,12962,0.09196843206882477,0.015038244426250458,-0.007169211283326149,0.10958270728588104,0.13486993312835693,True,0.0
NGC_3255,0.2238723104986867,22211,22065,0.06536214798688889,0.030569523572921753,-0.006964825093746185,0.10571877658367157,0.12465843558311462,True,0.0
NGC_3766,0.0229086835704537,20310,20286,0.004925839602947235,-0.039293646812438965,-0.008392604067921638,0.09339670091867447,0.11074166744947433,True,0.0
NGC_4349,0.3162277660168379,19947,19923,0.08196885138750076,0.007135555148124695,-0.0059143416583538055,0.1146274134516716,0.13086366653442383,True,0.0
NGC_5168,0.602559215586761,24030,24003,-0.014219727367162704,0.012769974768161774,-0.0044506266713142395,0.09842775762081146,0.1096271425485611,True,1.8381845e-35
NGC_5381,0.3548135450617081,24317,24239,-0.0009683683747425675,0.03257396072149277,-0.004855398088693619,0.09541668742895126,0.10931257903575897,True,4.5386456e-37
NGC_5460,0.1584892496402718,23164,23146,0.05939310044050217,-0.005425434559583664,-0.004898034036159515,0.11203832924365997,0.12210796028375626,True,4.084756e-39
NGC_5617,0.1047129651766653,27856,27764,0.07565925270318985,0.05157763883471489,-0.006604935973882675,0.10408416390419006,0.12851537764072418,True,0.0
NGC_5662,0.1995263191254866,22951,22925,0.07568370550870895,0.008695892989635468,-0.006019193679094315,0.11393938213586807,0.1273164600133896,True,0.0
NGC_5749,0.0524807206714521,5463,5454,0.02288152277469635,0.0032999590039253235,-0.008580794557929039,0.0820271447300911,0.11071880161762238,True,0.0
NGC_5822,0.9120109194638908,19309,19289,-0.0895841121673584,-0.024907492101192474,-0.003029998391866684,0.09563127905130386,0.12265101075172424,True,0.0
NGC_6124,0.1905459546378596,20473,20296,0.07998514175415039,0.033517539501190186,-0.005895886570215225,0.10840025544166565,0.12981972098350525,True,0.0
NGC_6152,0.2238723104986867,21104,21077,0.09112894535064697,-0.03553435951471329,-0.00447753444314003,0.13793793320655823,0.1353658139705658,False,0.5415273
NGC_6167,0.1548815122441698,18151,18132,0.03278573602437973,-0.03341422230005264,-0.0058127511292696,0.10077166557312012,0.11280076205730438,True,0.0
NGC_6178,0.016595861056887,20895,20874,-0.013133231550455093,-0.029630301520228386,-0.0064786095172166824,0.08983290195465088,0.1071130558848381,True,0.0
NGC_6204,0.0933253849940474,21483,21443,0.11412332206964493,-0.003557492047548294,-0.006478499621152878,0.13811272382736206,0.14805084466934204,True,3.207942e-28
NGC_6250,0.0239883355113592,6385,6377,0.13784080743789673,-0.04855351895093918,-0.002079758793115616,0.18757779896259308,0.16225624084472656,False,1.0
NGC_6318,0.0097723670593248,18608,18578,0.0638885647058487,0.001562751829624176,-0.003350706771016121,0.10661859065294266,0.12354019284248352,True,0.0
NGC_6645,0.512861429039393,9065,9057,0.010012696497142315,-0.01052599772810936,-0.005454283207654953,0.08142097294330597,0.11136308312416077,True,0.0
NGC_6694,0.1412536303897631,21308,21285,0.15853701531887054,-0.008977800607681274,-0.0074502937495708466,0.17233243584632874,0.1794867366552353,True,8.337112e-13
NGC_6756,0.0478629903136986,15745,15728,-0.05786728486418724,-0.005997423082590103,-0.005805768072605133,0.0959295928478241,0.11320501565933228,True,0.0
Patchick_90,1.096478099832217,22997,22692,0.16128018498420715,0.07081230729818344,-0.006400149315595627,0.12500663101673126,0.18058714270591736,True,0.0
Pismis_15,0.8709627484287175,11069,10679,0.20401179790496826,0.05304349213838577,-0.005680829286575317,0.1635150909423828,0.21674665808677673,True,0.0
Pismis_20,,6406,6398,0.03473704680800438,-0.004152126610279083,-0.004683217033743858,0.09294496476650238,0.11624952405691147,True,0.0
Pismis_21,,9270,9260,0.06146848201751709,0.02035525068640709,-0.006371043622493744,0.10059098899364471,0.12363770604133606,True,0.0
Pismis_23,,15793,15753,0.08329874277114868,0.014294415712356567,-0.006067056208848953,0.10856027901172638,0.13206294178962708,True,0.0
Pozzo_1,0.0095499262796311,12141,11761,0.14542578160762787,0.05723021924495697,-0.0030728094279766083,0.1265648603439331,0.16747735440731049,True,0.0
Ruprecht_1,0.2884031756450284,17139,16799,0.1655343621969223,0.058196134865283966,-0.0041503384709358215,0.13270901143550873,0.18179701268672943,True,0.0
Ruprecht_105,0.3890452816839944,12610,12536,0.13586170971393585,0.020223598927259445,-0.00904497504234314,0.13267114758491516,0.16209420561790466,True,0.0
Ruprecht_119,0.0478629903136986,18576,18557,0.033209893852472305,0.0033105015754699707,-0.007218256592750549,0.09622380137443542,0.11339786648750305,True,0.0
Ruprecht_121,0.1778279410038923,10339,10324,0.06835807859897614,-0.06444644182920456,-0.0036474131047725677,0.13753238320350647,0.1253546178340912,False,1.0
Ruprecht_161,0.1047129651766653,20179,19928,0.09946910291910172,0.058549914509058,-0.006566019728779793,0.11258967220783234,0.14155447483062744,True,0.0
Ruprecht_18,0.1288248533293804,18374,18040,0.13482266664505005,0.06875329464673996,-0.001637415960431099,0.11726169288158417,0.15855270624160767,True,0.0
Ruprecht_54,0.2754226042194985,12912,12557,0.26326966285705566,0.0671611800789833,-0.0062650516629219055,0.2018405795097351,0.2738654911518097,True,0.0
Ruprecht_58,0.3311314705081584,22094,21752,0.20558775961399078,0.07564301043748856,-0.003168415278196335,0.14684553444385529,0.216091126203537,True,0.0
Ruprecht_61,,17826,17465,0.15362250804901123,0.05586806684732437,-0.004713229835033417,0.1274985373020172,0.17439325153827667,True,0.0
Ruprecht_77,0.0123026920306321,16917,16662,0.2843574583530426,0.0679430142045021,-0.005891082808375359,0.21992476284503937,0.29285645484924316,True,0.0
Ruprecht_78,,17048,16857,0.023705217987298965,0.04023557901382446,-0.005525704473257065,0.0932244211435318,0.11050525307655334,True,0.0
Ruprecht_82,0.4570880290185208,28150,27976,0.18725430965423584,0.06906639039516449,-0.007004622370004654,0.1373979151248932,0.20283089578151703,True,0.0
Ruprecht_91,0.1380385355838289,16105,15949,0.05184079334139824,0.04766739159822464,-0.005401946604251862,0.10172054171562195,0.11776427924633026,True,0.0
Ruprecht_97,0.1778279410038923,21854,21763,0.15212243795394897,0.03276238590478897,-0.0063563138246536255,0.13897529244422913,0.17455261945724487,True,0.0
Ruprecht_98,0.4897783461428336,27907,27829,0.13722138106822968,0.03208678960800171,-0.005687035620212555,0.13187584280967712,0.16232603788375854,True,0.0
SAI_113,0.0089125054671134,15762,15709,0.08020756393671036,0.009683758020401001,-0.004719693213701248,0.11495175957679749,0.13062837719917297,True,0.0
Stock_14,0.0363078006932764,5791,5739,0.11652102321386337,0.039055101573467255,-0.0048757754266262054,0.11833751946687698,0.14776559174060822,True,0.0
Stock_16,,20719,20705,0.10612271726131439,-0.01983669400215149,-0.008294321596622467,0.1380149871110916,0.14450399577617645,True,6.652592e-20
Teutsch_103,0.3630784055774333,21451,21212,0.11063740402460098,0.0529463104903698,-0.005324607715010643,0.11295518279075623,0.14610055088996887,True,0.0
Teutsch_13,0.0079432840915212,7802,7513,0.23899796605110168,0.07904136925935745,-0.00850728154182434,0.17249643802642822,0.25291013717651367,True,0.0
Teutsch_38,0.0371535375952047,2797,2792,0.2857053577899933,0.03836696967482567,0.0050048790872097015,0.2483064830303192,0.2860110402107239,True,6.0876105e-20
Teutsch_44,2.5703948796691973,20070,19855,0.16520912945270538,0.0463440865278244,-0.006071895360946655,0.13875697553157806,0.18440046906471252,True,0.0
Teutsch_61,0.045708802901852,25276,25091,0.13790737092494965,0.050817444920539856,-0.005852557718753815,0.12453986704349518,0.16372165083885193,True,0.0
Teutsch_85,,19672,19639,0.11893355846405029,0.007184281945228577,-0.00683831050992012,0.13337263464927673,0.15243962407112122,True,0.0
Tombaugh_2,1.621810239813303,8933,8599,0.2180854082107544,0.056622497737407684,-0.0033857524394989014,0.1722162961959839,0.22657765448093414,True,0.0
Trumpler_14,0.0630957621586153,24073,23933,0.07761310786008835,0.025132864713668823,-0.00489744171500206,0.11079714447259903,0.1292416751384735,True,0.0
Trumpler_17,0.0199526319125486,25961,25755,0.10894220322370529,0.05949089676141739,-0.008020319044589996,0.11276639252901077,0.14689433574676514,True,0.0
Trumpler_19,4.897783461428336,20850,20650,0.11293122917413712,0.05876701697707176,-0.0044752806425094604,0.11454471945762634,0.14610016345977783,True,0.0
Trumpler_20,1.862089099377868,18675,18652,0.19623613357543945,-0.022095022723078728,-0.005551634356379509,0.21987633407115936,0.21024945378303528,False,0.99739444
Trumpler_25,0.2290865841769215,5963,5956,0.024292247369885445,-0.035790033638477325,-0.004092598333954811,0.08925999701023102,0.11248569190502167,True,0.0
Trumpler_35,0.0389045281683994,8363,8349,0.02222537435591221,0.0025191232562065125,-0.0022798702120780945,0.09126397967338562,0.10793285071849823,True,4.2627928e-35
UBC_102,0.3311314705081584,6386,6365,0.09068391472101212,-0.00228755921125412,-0.005409102886915207,0.12418171018362045,0.13492615520954132,True,1.4055329e-17
UBC_199,1.148154730847072,28866,28693,0.14022518694400787,0.0580519437789917,-0.006439242511987686,0.1204877570271492,0.16502833366394043,True,0.0
