cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
UBC_270,0.1621810239813303,14,0.0944,19942,5702.0,8868.734119646106,3.497369344089793,0.14,False
UBC_277,0.102329353157667,14,0.0557,18926,4982.5,8079.976950324486,3.798494731560462,0.115,False
UBC_285,0.0616594947701844,19,0.0994,17891,5129.5,8804.124747456444,3.487864314260649,0.15,False
UBC_286,0.0575440240605537,5,0.0881,15072,5439.5,8720.786350402985,2.7708429083555473,0.18,False
UBC_289,0.1380385355838289,6,0.0941,29120,4499.0,8323.656288308643,6.472549455434541,0.03,False
UBC_291,0.0251188698309886,6,0.0305,16095,5208.0,8602.918534886867,3.0904377880184333,0.205,False
UBC_292,0.069183121399144,25,0.0844,18498,5346.0,8862.954916482426,3.4601571268237934,0.16,False
UBC_301,0.2344228197592381,12,0.0698,21150,5417.5,8761.169389457951,3.9040147669589293,0.14,False
UBC_302,0.5754402406055371,7,0.0754,5639,4827.0,8222.440523901647,1.1682204267661074,0.445,False
UBC_303,0.7079464062202759,21,0.0923,13623,5482.0,8144.840200267898,2.4850419554906966,0.24,False
UBC_312,0.794327537013272,5,0.0555,13009,5912.5,9190.526398177637,2.2002536997885835,0.285,False
UBC_324,0.794327537013272,20,0.0881,12976,5661.0,8046.1389578464905,2.292174527468645,0.26,False
UBC_326,0.2630268453963283,5,0.0796,9767,5254.0,8334.759737051512,1.8589645984012182,0.33,False
UBC_344,0.0034673681999632,16,0.0985,16466,6819.5,8291.298581428606,2.414546521005939,0.195,False
UBC_345,0.0144543926289566,13,0.0903,9886,5158.0,9029.2264067513,1.9166343544009306,0.35,False
UBC_354,0.1995263191254866,20,0.0909,21366,6057.5,7989.659595377015,3.527197688815518,0.1,False
UBC_441,0.1737799912893991,10,0.0823,7250,4826.0,8706.831880144466,1.5022793203481144,0.42,False
UBC_443,0.8912505467113453,18,0.0668,12448,5871.5,7773.785185480751,2.1200715319764964,0.26,False
UBC_461,0.0478629903136986,6,0.0671,16126,6841.0,9187.851280011013,2.3572577108609853,0.235,False
UBC_470,0.0323593827469971,14,0.0742,14765,5170.0,8142.961991677229,2.855899419729207,0.205,False
UBC_476,0.0870963704709874,8,0.0706,16398,4602.5,8549.41198233978,3.562846279196089,0.18,False
UBC_479,0.0204173767566041,18,0.0563,20456,6058.5,8066.249159105799,3.376413303623009,0.115,False
UBC_482,0.0269153374005781,5,0.0945,2808,6276.0,8398.89414441568,0.4474187380497132,0.7,False
UBC_490,0.0398107083132505,16,0.0621,27788,4735.0,7313.6222624291995,5.8686378035902855,0.025,False
UBC_491,0.1819701817628807,17,0.0659,13884,5430.5,8292.560170200755,2.556670656477304,0.245,False
UBC_497,,13,0.0869,21938,7100.5,10070.24754065162,3.0896415745370045,0.17,False
UBC_499,0.0524807206714521,17,0.0697,16629,5946.0,8366.144208401802,2.796670030272452,0.185,False
