cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
UPK_46,24,0.3276,0.1135,0.0779,-0.106,0.227,-7.58,32.65,0.1548815122441698,0.1-0.3,7.027625420570108,-0.26660818220246923,0.26660818220246923
UBC_548,21,0.543,0.1138,0.0681,0.13,0.106,-36.37,27.68,0.4168692736211187,0.3-0.5,7.744156179682304,0.02103462118910031,0.02103462118910031
Basel_17,12,0.2128,0.1139,0.0,-0.05,0.185,-3.96,30.37,0.1047129651766653,0.1-0.3,7.980794319965743,0.030531888043176542,0.030531888043176542
Collinder_140,28,0.3963,0.1141,0.0472,-0.2,0.167,55.8,25.06,0.0269153374005781,<0.1,9.50089345287047,-0.3292809354420769,0.3292809354420769
FSR_1452,20,0.4411,0.1141,0.0816,-0.069,0.14,27.45,17.79,0.2344228197592381,0.1-0.3,8.145353318737577,0.007982042762634162,0.007982042762634162
UBC_212,59,0.3767,0.1142,0.0464,-0.106,0.188,37.35,33.78,1.0715186464071411,1-2,8.405199172090686,0.009260761843613668,0.009260761843613668
NGC_6469,18,0.3857,0.1143,0.0815,-0.006,0.105,-7.01,39.97,0.069183121399144,<0.1,7.5394081912287385,0.039437013463659715,0.039437013463659715
SAI_109,8,0.2679,0.1143,0.0256,-0.044,0.169,9.88,22.11,1.047129651766654,1-2,8.113572180722507,0.023684516565796444,0.023684516565796444
NGC_3033,12,0.3731,0.1144,0.0,0.051,0.265,26.58,21.94,0.6760828566222641,0.5-1,8.050561168605146,0.0013613739784708763,0.0013613739784708763
Gulliver_36,8,0.4206,0.1144,0.0,-0.111,0.202,43.01,21.38,0.7413100459583173,0.5-1,8.364682909103655,0.014549246492230012,0.014549246492230012
UBC_502,12,0.4253,0.1151,0.0836,-0.051,0.127,7.46,19.2,0.3981075202376551,0.3-0.5,7.982646021592796,0.011819540672204882,0.011819540672204882
UBC_669,9,0.4777,0.1152,0.0234,0.098,0.108,-26.9,22.41,0.2951211041237279,0.1-0.3,7.7741612003829115,0.01368249412153762,0.01368249412153762
Gulliver_41,18,0.4428,0.1152,0.0653,0.009,0.138,-12.61,43.66,,,7.961075678134739,0.016924313435721632,0.016924313435721632
NGC_5316,23,0.3867,0.1155,0.0394,0.007,0.172,-12.03,20.83,0.1659587927845761,0.1-0.3,7.709131797381409,0.020826220673296553,0.020826220673296553
Lynga_9,21,0.444,0.1155,0.0538,0.15,0.097,-34.93,27.67,0.6309576215861531,0.5-1,7.7993853700017945,0.026701423084879734,0.026701423084879734
Ruprecht_79,12,0.3755,0.1158,0.0,-0.05,0.176,19.77,29.13,0.0616594947701844,<0.1,8.097631128079351,0.017606110204899997,0.017606110204899997
UBC_508,25,0.4165,0.116,0.0448,-0.068,0.256,-2.37,23.14,1.2022642234116694,1-2,8.077594688516603,0.01896115221489036,0.01896115221489036
Trumpler_18,21,0.4405,0.1161,0.0725,-0.065,0.205,-0.84,20.74,0.0478629903136986,<0.1,7.920187569603856,0.018787362615893134,0.018787362615893134
Trumpler_7,13,0.4216,0.1162,0.0,-0.169,0.151,41.65,35.57,0.0660693709156595,<0.1,8.426493440311836,-0.010588531793935995,0.010588531793935995
LP_1994,18,0.4418,0.1162,0.0787,-0.086,0.337,-9.0,33.95,0.7244353873869618,0.5-1,7.86908708373398,0.061710887795455374,0.061710887795455374
ASCC_29,28,0.3783,0.1163,0.0666,-0.152,0.215,34.65,28.0,0.0933253849940474,<0.1,8.913927789902427,0.02066873363854465,0.02066873363854465
Graham_1,12,0.4351,0.1163,0.0779,-0.086,0.186,6.5,13.32,0.0154881682297679,<0.1,8.04899489327711,0.009216430483905098,0.009216430483905098
UPK_40,36,0.4276,0.1164,0.0,0.001,0.219,8.93,38.34,0.5370312303176601,0.5-1,6.891585869207863,-0.29385879133130716,0.29385879133130716
UBC_500,16,0.4049,0.1166,0.0825,-0.114,0.232,4.99,26.12,0.2511884225153641,0.1-0.3,8.024788148068193,0.040707036682705075,0.040707036682705075
UPK_607,8,0.4132,0.1166,0.0,-0.105,0.251,-7.67,37.15,0.0154881682297679,<0.1,7.3529649904250665,0.04548130654080486,0.04548130654080486
Trumpler_21,9,0.357,0.1167,0.0,0.055,0.188,-15.04,22.85,0.0489778883899246,<0.1,7.702937043242616,0.016088248361634822,0.016088248361634822
Gulliver_34,13,0.214,0.117,0.0,-0.076,0.2,-3.65,29.1,,,8.04714453316388,0.02540882567036565,0.02540882567036565
UPK_604,7,0.4792,0.117,0.0332,0.128,0.183,-24.51,17.25,0.0426579631209555,<0.1,7.201739744189166,0.002939266850490691,0.002939266850490691
UPK_31,15,0.457,0.1172,0.0566,-0.037,0.214,36.24,30.76,0.5011870135142811,0.5-1,6.555447502186943,-0.19182452545228876,0.19182452545228876
Dias_6,16,0.4287,0.1172,0.0664,-0.01,0.134,-12.29,44.8,1.096478099832217,1-2,7.810984111854875,0.014067847557800234,0.014067847557800234
NGC_2186,9,0.3661,0.1175,0.0,-0.068,0.168,23.26,23.67,0.2511884225153641,0.1-0.3,8.500060418834014,-0.02279983503425317,0.02279983503425317
Saurer_2,5,0.2293,0.1175,0.0,-0.107,0.095,53.82,24.32,1.621810239813303,1-2,8.145335716031289,0.018945392082732503,0.018945392082732503
UBC_492,22,0.3883,0.1176,0.0748,-0.062,0.173,25.19,23.0,0.0588843629494562,<0.1,8.084486432757988,0.03953945090906967,0.03953945090906967
Ruprecht_107,12,0.5041,0.1177,0.0642,-0.009,0.176,-19.54,26.45,0.2041739917404129,0.1-0.3,7.985351694667677,0.011193596340748336,0.011193596340748336
Gulliver_13,11,0.3695,0.1178,0.0,-0.062,0.184,55.55,29.83,1.0,0.5-1,8.565722575962917,-0.024180195675990192,0.024180195675990192
Ruprecht_143,23,0.4873,0.1179,0.079,0.096,0.128,-1.72,33.68,0.3981075202376551,0.3-0.5,7.819350812725484,0.011985838491918671,0.011985838491918671
Pismis_17,12,0.4826,0.1179,0.0,-0.06,0.111,3.02,35.37,,,8.006995873304597,0.021183331012735136,0.021183331012735136
NGC_4852,28,0.4428,0.1181,0.0349,-0.01,0.133,-16.91,25.46,0.0776246877988414,<0.1,7.726684441365216,0.06230295451404934,0.06230295451404934
Trumpler_13,28,0.4363,0.1183,0.0352,-0.088,0.199,13.85,31.32,0.1819701817628807,0.1-0.3,8.073512934841412,0.012890072192666514,0.012890072192666514
ESO_559_13,8,0.3263,0.1186,0.0666,-0.244,0.131,51.36,21.74,0.6165949477018448,0.5-1,8.354455784874204,0.010460703902206245,0.010460703902206245
UBC_661,4,0.315,0.1186,0.0765,-0.026,0.05,-7.43,19.66,,,7.978131116283439,0.01661741093229498,0.01661741093229498
BH_19,6,0.4844,0.1187,0.0686,-0.189,0.181,46.03,24.59,0.3090293803866819,0.3-0.5,8.189269635172018,0.02089219250666244,0.02089219250666244
ASCC_58,14,0.3803,0.1192,0.0,-0.039,0.18,-2.42,19.13,0.0524807206714521,<0.1,7.964841038540467,0.06513759186808772,0.06513759186808772
