ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
105.54017,-26.495722,0.6243791676658066,0.07939061190005377,0.12812032,-0.1291143,-0.18499036,0.1072888,0.13770667,0.20944655,65.1165,7.0062284,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.1564
105.28929,-26.501833,0.4622681059463134,0.18145254487670398,-0.34935412,0.038275186,0.1129536,0.09426267,0.07659045,0.060263783,51.73671,4.167394,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.3802
105.21846,-26.456583,0.5409497512827356,0.06578832332291976,0.15103918,0.106605165,0.113020584,0.08212074,0.12839939,0.107145846,10.622974,8.788793,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.447
105.346085,-26.639778,0.43115361466606217,0.06573663555867977,-0.044721894,-0.046047863,0.05889245,0.018892236,-0.022266459,0.04083897,83.4304,2.2311893,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.353
116.232544,0.013166667,0.5247266011780396,0.12722477190809292,-0.07896722,-0.043110643,-0.02347138,0.06458657,0.116378814,0.15367594,20.37939,7.5608163,ASCC_41,116.674,0.137,0.646,-3.99,0.3,0.4585
116.33383,-0.015611111,0.4844154258200668,0.07541335688450435,-0.43989134,0.17363678,0.22799116,-0.010351419,0.23515351,0.17298156,55.024136,11.199912,ASCC_41,116.674,0.137,0.646,-3.99,0.3,0.3728
116.21975,-0.045138888,0.4901667682753154,0.0844779914180952,-0.16491851,-0.04672443,0.0025040503,0.08701057,0.08091463,-0.040102795,23.001966,4.546779,ASCC_41,116.674,0.137,0.646,-3.99,0.3,0.4894
116.343666,-0.17891666,0.40784277625367366,0.111240945068998,-0.36563957,0.09599167,0.22507124,0.059007697,0.23107485,-0.10403161,92.29466,9.056592,ASCC_41,116.674,0.137,0.646,-3.99,0.3,0.4571
116.2375,0.28444445,0.4318391063180686,0.05991408947236176,0.09694366,-0.13088611,-0.026635734,-0.06869366,-0.026759386,0.03333077,8.090183,1.0633043,ASCC_41,116.674,0.137,0.646,-3.99,0.3,0.4607
153.81313,-54.72839,0.3418231676628247,0.13322239673659356,-0.26472378,0.12112069,0.32689154,0.07583792,0.09653075,0.16638348,-6.172885,6.052474,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.287
153.71425,-54.882526,0.7433551326490769,0.23142342491173176,-0.16374514,0.16353743,0.03191343,0.15799978,0.17407921,0.20804003,-36.40003,8.816835,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.123
153.63605,-54.847637,0.3468059911884402,0.050628155938297247,-0.42528403,-0.17648137,0.023004383,-0.0004849285,0.25564083,0.10723305,-30.577766,9.355145,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.1538
