i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
1,5,2.332159362571593,1.6437287805098355,1.2980281525463537,5.2739162956277825,CD-30  7056,TYC 6897-1616-1,0.9953865433639338,0.9939321090920874
19,21,3.3844058449448604,1.276898061612143,0.6164483824982339,5.277752289055238,TYC 5248-636-1,TYC 5232-208-1,0.9902150085743344,0.9901450005093488
9,14,3.320547029493355,1.3448245118976205,0.6184912963304027,5.283862837721378,TYC 9263-701-1,HD 271200,0.992456910945104,0.9913680789520726
15,23,3.3295197573161706,1.6898436011722724,0.26524676121836166,5.284610119706804,BD-08  6091,HD  13767,0.9911042011418684,0.9898647127489534
19,20,2.80418216894447,0.5239736858297157,1.9688939279329036,5.297049782707089,TYC 5248-636-1,TYC 8351-2149-1,0.9902150085743344,0.9902110765948476
3,20,2.164919425902441,1.270616758721233,1.8938589738052496,5.329395158428923,TYC 1071-934-1,TYC 8351-2149-1,0.9944493696993356,0.9902110765948476
1,11,3.298320965490463,0.6220019797188806,1.4255341343423653,5.345857079551709,CD-30  7056,CPD-63   349,0.9953865433639338,0.9921674773952948
7,21,2.4720118404058615,1.3482685852377978,1.5315013940997297,5.351781819743389,TYC 7915-779-1,TYC 5232-208-1,0.9934194074914954,0.9901450005093488
10,16,2.863581876454453,1.2664087820289034,1.2310633084624107,5.361053966945767,HD 217340,HD 122625,0.9923914331934592,0.9910369520989836
16,23,1.6682447789734722,1.60018865950561,2.1043266475012365,5.372760085980319,HD 122625,HD  13767,0.9910369520989836,0.9898647127489534
21,23,2.6446162970460723,2.6977259954797086,0.03171436550691986,5.374056658032701,TYC 5232-208-1,HD  13767,0.9901450005093488,0.9898647127489534
5,11,3.46471463443305,1.7818443629704646,0.12750598179601175,5.3740649791995265,TYC 6897-1616-1,CPD-63   349,0.9939321090920874,0.9921674773952948
28,29,2.6936822992550082,1.0566876845001667,1.6255985741853687,5.375968557940544,HD 178528B,HD 180950,0.9883660877914092,0.9881504576735348
10,29,3.215506056469559,1.9180387660142197,0.2493324390942364,5.382877261578015,HD 217340,HD 180950,0.9923914331934592,0.9881504576735348
6,16,1.7904254649411042,0.9122636068451169,2.7050938590732807,5.407782930859502,HD 271308,HD 122625,0.9935994695920594,0.9910369520989836
