cluster,mg_fe_std,mg_fe_mean,mg_fe_n,si_fe_std,si_fe_mean,si_fe_n,ba_fe_std,ba_fe_mean,ba_fe_n,ce_fe_std,ce_fe_mean,ce_fe_n,eu_fe_std,eu_fe_mean,eu_fe_n,alpha_scatter,sproc_scatter,alpha_sproc_ratio,age_gyr
Alessi_Teutsch_8,0.0351099602638667,-0.03202038244444445,9,0.06125739920151867,0.03910625122222222,9,0.1847916841506958,0.11343967914581299,9.0,0.08791663497686386,0.020641742274165154,6.0,0.16561158001422882,0.1717391014099121,9.0,0.048183679732692684,0.13635416328907013,0.35337153314888914,0.1174896729347291
BH_111,0.06595404161650353,0.025485823850689652,29,0.05409377966261537,0.06692477157103449,29,0.18912890553474426,0.0364273376762867,29.0,0.0996859073638916,0.0004502472875174135,15.0,0.1416199505329132,0.10522310435771942,28.0,0.06002391063955945,0.14440740644931793,0.4156567319878139,0.1949844428490234
BH_118,0.08769395559794314,0.011732112952631582,19,0.09244691159696458,0.08170507815263157,19,0.1936589926481247,0.07878772169351578,19.0,0.07878907024860382,-0.03424759954214096,10.0,0.1135333925485611,0.11087048053741455,18.0,0.09007043359745387,0.13622403144836426,0.6611934226274538,1.9054595463785964
BH_121,0.08731892758451587,0.0509578835,12,0.0907297758435117,0.11790540799999999,12,0.30411258339881897,0.07744717597961426,12.0,,,,0.13209283351898193,0.17263026535511017,10.0,0.0890243517140138,0.30411258339881897,0.2927348507551415,0.0026302684539632
BH_144,0.062257493264474204,-0.012819269454166666,24,0.07129542893932315,0.06693910270833334,24,0.15827110409736633,0.05287279561161995,24.0,0.06657107174396515,-0.011502253822982311,15.0,0.15543478727340698,0.12095529586076736,22.0,0.06677646110189868,0.11242108792066574,0.5939851885174964,1.4791086480080835
BH_150,0.11535934444772333,-0.0011855725764705865,17,0.10340099636413017,0.05148637,17,0.1861540675163269,-0.02276798151433468,17.0,0.1540108472108841,-0.02732187509536743,5.0,0.13802818953990936,0.004854418337345123,14.0,0.10938017040592675,0.1700824499130249,0.6431008635039095,0.021877623926123
BH_151,0.16237186982469698,0.04369424683333332,12,0.07756882654318259,0.032149444000000006,12,0.3436875343322754,0.05288724601268768,11.0,0.12664589285850525,0.07854114472866058,5.0,0.17510831356048584,0.13929814100265503,12.0,0.11997034818393978,0.23516671359539032,0.5101502093972002,0.0158489249640271
BH_19,0.13343016156728646,0.03050859083333334,6,0.05699816145522366,0.12655906916666665,6,0.206797793507576,0.10252062976360321,5.0,,,,0.2442919760942459,0.18190936744213104,6.0,0.09521416151125506,0.206797793507576,0.4604215542936482,0.3090293803866819
BH_211,0.041065538542461415,-0.008194027625000001,12,0.03946003811142355,0.03528508375,12,0.11887891590595245,-0.03318500146269798,11.0,0.19525226950645447,0.09441859275102615,10.0,0.1160798966884613,0.1083841547369957,11.0,0.04026278832694248,0.15706560015678406,0.2563437715626583,0.4265796312095559
BH_23,0.061184457299282916,0.0206127734875,12,0.06743417692572135,0.07708490041666667,12,0.14811666309833527,0.1620362401008606,12.0,0.17514781653881073,0.09406516700983047,7.0,0.13848957419395447,0.10946094244718552,11.0,0.06430931711250212,0.161632239818573,0.3978743175537706,0.0288403175645028
