cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_6755,17,0.5201,0.1067,0.0,0.061,0.147,0.54,34.21,0.1445439262895664,0.1-0.3,6.266270010727324,-0.06324986747217792,0.06324986747217792
UPK_542,9,0.399,0.1068,0.0,-0.15,0.206,19.45,23.39,0.6309576215861531,0.5-1,8.122697917275675,-0.06257913574958006,0.06257913574958006
BH_111,29,0.4242,0.1069,0.0,0.003,0.181,2.14,22.21,0.1949844428490234,0.1-0.3,7.533879185160856,-0.14468183690706118,0.14468183690706118
UBC_473,23,0.3864,0.1069,0.0,-0.179,0.112,57.87,28.62,0.7413100459583173,0.5-1,11.463731579478306,-0.02223179722606498,0.02223179722606498
UPK_614,19,0.4615,0.107,0.0,0.047,0.169,-25.27,39.86,0.1,<0.1,7.4014279883646035,0.057032611714229145,0.057032611714229145
NGC_3603,6,0.5802,0.107,0.0418,-0.022,0.131,-6.93,24.59,,,12.66188198981615,-0.11071277357893232,0.11071277357893232
UBC_350,9,0.3155,0.1072,0.0,-0.106,0.268,9.21,34.57,0.2344228197592381,0.1-0.3,6.5621012321877386,-0.15119880323454504,0.15119880323454504
UBC_263,17,0.4134,0.1075,0.0276,-0.038,0.139,6.89,27.43,0.0251188698309886,<0.1,7.708991002458894,-0.00812808897216925,0.00812808897216925
UBC_572,25,0.4475,0.1076,0.0593,-0.026,0.215,-14.0,28.21,1.9054595463785964,1-2,6.633583465513428,-0.19220388533406937,0.19220388533406937
Alessi_Teutsch_8,9,0.3934,0.1079,0.0403,0.09,0.117,-7.62,15.12,0.1174896729347291,0.1-0.3,7.707249992723553,0.04443052040311764,0.04443052040311764
UBC_645,27,0.3114,0.1081,0.0,-0.177,0.229,54.82,29.13,0.9332548746146908,0.5-1,11.505975403679388,0.09292079594762266,0.09292079594762266
UBC_657,16,0.4609,0.1082,0.0,-0.031,0.151,3.93,15.93,,,8.366731806237857,-0.16783934706543172,0.16783934706543172
Collinder_338,20,0.4988,0.1083,0.0,0.084,0.114,-22.12,31.3,0.1445439262895664,0.1-0.3,7.473060675210087,-0.017974872273967917,0.017974872273967917
ASCC_77,16,0.4346,0.1084,0.0514,0.023,0.173,-20.02,23.51,0.0812830230578909,<0.1,7.380401317902672,0.0008560350170819971,0.0008560350170819971
NGC_3590,20,0.4314,0.1085,0.0583,-0.089,0.203,-0.47,19.94,0.0263026845396328,<0.1,7.5736076740498115,0.00967776527027538,0.00967776527027538
Collinder_359,5,0.4439,0.1085,0.0751,-0.049,0.302,3.15,35.51,0.0371535375952047,<0.1,7.654117297986396,0.13976667277221577,0.13976667277221577
